CUSTOMERNAME,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Cruz & Sons Co.                     , +63 2 555 3587   , Cruz           , Arnold          
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
" ""Men 'R' US Retailers Ltd.""        ", 2155554369       , Chandler       , Michael         
 Mini Auto Werke                     , 7675-3555        , Mendel         , Roland          
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
" ""Blauer See Auto Co.""              ", +49 69 66 90 2555, Keitel         , Roland          
" ""Toms Spezialitten Ltd""            ", 0221-5554327     , Pfalzheim      , Henriette       
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Mini Caravy                         , 88.60.1555       , Citeaux        , Frederique      
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Mini Auto Werke                     , 7675-3555        , Mendel         , Roland          
" ""Australian Gift Network Co""       ", 61-7-3844-6555   , Calaghan       , Tony            
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 West Coast Collectables Co.         , 3105553722       , Thompson       , Steve           
 Cambridge Collectables Co.          , 6175555555       , Tseng          , Kyung           
 Super Scale Inc.                    , 2035559545       , Murphy         , Leslie          
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Auto Assoc. & Cie.                  , 30.59.8555       , Tonini         , Daniel          
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
 Alpha Cognac                        , 61.77.6555       , Roulet         , Annette         
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
 Osaka Souveniers Co.                , +81 06 6342 5555 , Kentary        , Mory            
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Signal Gift Stores                  , 7025551838       , King           , Sue             
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
" ""Norway Gifts By Mail Co.""         ", +47 2212 1555    , Klaeboe        , Jan             
" ""Toms Spezialitten Ltd""            ", 0221-5554327     , Pfalzheim      , Henriette       
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Signal Collectibles Ltd.            , 4155554312       , Taylor         , Sue             
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Australian Collectables Ltd""      ", 61-9-3844-6555   , Connery        , Sean            
